geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	meanRawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
ENSG00000000003	S03.tsv	0.0311311164485807	1	2.04	0.8	18	10.57	18.46	10	161.51	FALSE	1	0	601
ENSG00000000003	S04.tsv	0.452761653670676	1	-0.95	-0.5	6	10.57	6.86	10	161.51	FALSE	1	0	601
ENSG00000000003	S05.tsv	0.953533128248564	1	-0.19	-0.16	6	10.57	8.9	10	161.51	FALSE	1	0	601
ENSG00000000003	S06.tsv	0.892920917261936	1	-0.12	-0.13	11	10.57	9.17	10	161.51	FALSE	0	0	601
ENSG00000000003	S07.tsv	0.383636903989906	1	-0.87	-0.46	9	10.57	7.15	10	161.51	FALSE	1	0	601.5
ENSG00000000003	S08.tsv	0.566797573502892	1	-0.95	-0.5	4	10.57	6.71	10	161.51	FALSE	1	0	601.5
ENSG00000000003	S09.tsv	0.148202579424515	1	1.39	0.52	19	10.57	14.93	10	161.51	FALSE	1	0	601
ENSG00000000003	S10.tsv	0.133706485146239	1	1.5	0.57	17	10.57	15.51	10	161.51	FALSE	1	0	601
ENSG00000000003	S11.tsv	0.86796189010838	1	0.4	0.09	14	10.57	10.87	10	161.51	FALSE	1	0	601.5
ENSG00000000003	S12.tsv	1	1	0.14	-0.02	19	10.57	10.01	10	161.51	FALSE	0	0	601
ENSG00000000003	S13.tsv	0.195509328069115	1	-1.34	-0.66	8	10.57	6.13	10	161.51	FALSE	1	0	601
ENSG00000000003	S14.tsv	0.975094116011774	1	0.33	0.06	9	10.57	10.63	10	161.51	FALSE	1	0	601
ENSG00000000003	S15.tsv	0.737613436438374	1	0.55	0.16	14	10.57	11.41	10	161.51	FALSE	1	0	601
ENSG00000000003	S16.tsv	0.924698593939402	1	-0.07	-0.11	12	10.57	9.33	10	161.51	FALSE	1	0	601.5
ENSG00000000003	S17.tsv	0.780846656203693	1	-0.59	-0.34	4	10.57	7.63	10	161.51	FALSE	0	0	601
ENSG00000000003	S18.tsv	0.744858086319629	1	-0.39	-0.25	8	10.57	8.36	10	161.51	FALSE	0	0	601
ENSG00000000003	S19.tsv	0.639268037217727	1	-0.65	-0.36	6	10.57	7.61	10	161.51	FALSE	1	0	602
ENSG00000000003	S20.tsv	1	1	0	-0.08	8	10.57	9.53	10	161.51	FALSE	1	0	601
ENSG00000000003	S21.tsv	0.458973873881702	1	0.85	0.29	17	10.57	12.55	10	161.51	FALSE	0	0	601
ENSG00000000003	S22.tsv	0.739447751834405	1	0.52	0.15	16	10.57	11.3	10	161.51	FALSE	1	0	601
ENSG00000000003	S23.tsv	0.82186437534495	1	0.45	0.12	14	10.57	11.05	10	161.51	FALSE	1	0	601
ENSG00000000003	S24.tsv	0.15282647646811	1	-1.97	-0.94	4	10.57	4.73	10	161.51	FALSE	1	0	601
ENSG00000000003	S25.tsv	0.2732516600257	1	1.18	0.43	16	10.57	13.98	10	161.51	FALSE	1	0	601.5
ENSG00000000003	S26.tsv	0.517751695072919	1	-0.84	-0.45	6	10.57	7.13	10	161.51	FALSE	1	0	601
ENSG00000000003	S27.tsv	0.0833186684833969	1	1.96	0.77	12	10.57	18.36	10	161.51	FALSE	1	0	601
ENSG00000000003	S28.tsv	0.764325888401521	1	-0.41	-0.26	7	10.57	8.29	10	161.51	FALSE	1	0	601
ENSG00000000003	S29.tsv	0.373753755207751	1	-0.95	-0.49	8	10.57	6.95	10	161.51	FALSE	1	0	601.5
ENSG00000000003	S30.tsv	0.499444117573446	1	0.88	0.3	13	10.57	12.72	10	161.51	FALSE	1	0	601
ENSG00000000004	S01.tsv	0.893261926732561	1	0.29	0.05	30	19.67	19.69	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S02.tsv	0.621341026602481	1	-0.49	-0.23	17	19.67	16	18.84	76.69	FALSE	1	0	601.5
ENSG00000000004	S03.tsv	0.00315504313425127	1	2.55	0.87	36	19.67	35.65	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S04.tsv	1	1	0.09	-0.02	19	19.67	18.72	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S05.tsv	0.651726138157338	1	-0.67	-0.3	9	19.67	15.14	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S06.tsv	0.503313438195354	1	0.86	0.26	19	19.67	22.95	18.84	76.69	FALSE	0	0	601
ENSG00000000004	S07.tsv	0.836008854536098	1	0.37	0.08	24	19.67	20.14	18.84	76.69	FALSE	1	0	601.5
ENSG00000000004	S08.tsv	0.55380136859082	1	0.85	0.26	15	19.67	22.97	18.84	76.69	FALSE	1	0	601.5
ENSG00000000004	S09.tsv	0.627408378554356	1	0.59	0.16	28	19.67	21.34	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S10.tsv	0.0464587448030497	1	1.75	0.59	36	19.67	28.9	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S11.tsv	0.509326898895838	1	-0.68	-0.3	16	19.67	15.24	18.84	76.69	FALSE	1	0	601.5
ENSG00000000004	S12.tsv	0.688418035680741	1	-0.34	-0.18	22	19.67	16.69	18.84	76.69	FALSE	0	0	601
ENSG00000000004	S13.tsv	0.955220158100936	1	-0.04	-0.07	20	19.67	18.05	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S14.tsv	1	1	-0.01	-0.06	15	19.67	18.18	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S15.tsv	0.853783056182838	1	0.33	0.07	28	19.67	19.94	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S16.tsv	0.384836722885603	1	0.93	0.29	27	19.67	23.35	18.84	76.69	FALSE	1	0	601.5
ENSG00000000004	S17.tsv	0.406716831570291	1	-0.9	-0.38	14	19.67	14.34	18.84	76.69	FALSE	0	0	601
ENSG00000000004	S18.tsv	0.894654774397997	1	0.33	0.07	19	19.67	19.92	18.84	76.69	FALSE	0	0	601
ENSG00000000004	S19.tsv	0.758232741845838	1	-0.33	-0.17	16	19.67	16.72	18.84	76.69	FALSE	1	0	602
ENSG00000000004	S20.tsv	0.0458859923233814	1	-3.01	-1.15	5	19.67	7.7	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S21.tsv	0.986262593231277	1	0.19	0.02	28	19.67	19.21	18.84	76.69	FALSE	0	0	601
ENSG00000000004	S22.tsv	0.654169331385761	1	-0.51	-0.24	14	19.67	15.92	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S23.tsv	0.9304154175526	1	0.29	0.05	17	19.67	19.75	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S24.tsv	0.605740654578481	1	0.73	0.21	17	19.67	22.22	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S25.tsv	1	1	-0.03	-0.06	14	19.67	18.11	18.84	76.69	FALSE	1	0	601.5
ENSG00000000004	S26.tsv	0.617308424498742	1	-0.61	-0.28	12	19.67	15.44	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S27.tsv	0.677312221263332	1	0.55	0.15	25	19.67	21.12	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S28.tsv	0.179324670251372	1	-1.15	-0.47	23	19.67	13.52	18.84	76.69	FALSE	1	0	601
ENSG00000000004	S29.tsv	0.578914804368933	1	-0.64	-0.29	13	19.67	15.33	18.84	76.69	FALSE	1	0	601.5
ENSG00000000004	S30.tsv	0.248753833056469	1	-1.31	-0.53	12	19.67	12.81	18.84	76.69	FALSE	1	0	601
ENSG00000000005	S01.tsv	0.295430356394536	1	-1.01	-0.42	29	31.5	22.76	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S02.tsv	0.707105759793506	1	0.44	0.13	31	31.5	33.72	30.89	32.86	FALSE	1	0	601.5
ENSG00000000005	S03.tsv	0.509121035075934	1	-0.69	-0.3	24	31.5	24.78	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S04.tsv	0.326836152531438	1	0.96	0.33	37	31.5	38.77	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S05.tsv	0.779038020563978	1	-0.31	-0.15	25	31.5	27.46	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S06.tsv	0.160084681608982	1	1.18	0.41	67	31.5	40.99	30.89	32.86	FALSE	0	0	601
ENSG00000000005	S07.tsv	0.407724729428868	1	0.79	0.26	44	31.5	37.01	30.89	32.86	FALSE	1	0	601.5
ENSG00000000005	S08.tsv	0.292365827570951	1	1.09	0.38	29	31.5	40.24	30.89	32.86	FALSE	1	0	601.5
ENSG00000000005	S09.tsv	0.649270364502963	1	0.51	0.16	32	31.5	34.36	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S10.tsv	0.858384367257414	1	0.24	0.05	44	31.5	31.87	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S11.tsv	0.582064895045211	1	0.59	0.19	35	31.5	35.04	30.89	32.86	FALSE	1	0	601.5
ENSG00000000005	S12.tsv	0.140732855996042	1	-1.42	-0.57	28	31.5	20.35	30.89	32.86	FALSE	0	0	601
ENSG00000000005	S13.tsv	0.693634717192755	1	0.45	0.13	35	31.5	33.73	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S14.tsv	0.0999069359971752	1	-1.97	-0.78	13	31.5	17.28	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S15.tsv	0.139410942613125	1	-1.43	-0.58	28	31.5	20.32	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S16.tsv	0.543876248180194	1	0.62	0.2	39	31.5	35.36	30.89	32.86	FALSE	1	0	601.5
ENSG00000000005	S17.tsv	0.472283749426001	1	0.86	0.29	20	31.5	37.96	30.89	32.86	FALSE	0	0	601
ENSG00000000005	S18.tsv	0.230693788302687	1	1.19	0.41	33	31.5	41.27	30.89	32.86	FALSE	0	0	601
ENSG00000000005	S19.tsv	0.124354603059119	1	1.47	0.52	35	31.5	44.59	30.89	32.86	FALSE	1	0	602
ENSG00000000005	S20.tsv	0.53722686245067	1	-0.61	-0.27	28	31.5	25.32	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S21.tsv	0.597407731559736	1	-0.45	-0.21	45	31.5	26.49	30.89	32.86	FALSE	0	0	601
ENSG00000000005	S22.tsv	0.786787910257459	1	-0.29	-0.15	26	31.5	27.58	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S23.tsv	0.439119517742222	1	-0.85	-0.36	20	31.5	23.67	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S24.tsv	0.615786156226301	1	0.58	0.19	27	31.5	35.04	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S25.tsv	0.819124756461203	1	0.3	0.08	36	31.5	32.38	30.89	32.86	FALSE	1	0	601.5
ENSG00000000005	S26.tsv	0.109427961913979	1	-1.97	-0.78	12	31.5	17.24	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S27.tsv	0.343176309343118	1	0.97	0.33	32	31.5	38.86	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S28.tsv	0.0921883479979139	1	-1.67	-0.67	25	31.5	19	30.89	32.86	FALSE	1	0	601
ENSG00000000005	S29.tsv	0.971661680540036	1	-0.06	-0.06	30	31.5	29.43	30.89	32.86	FALSE	1	0	601.5
ENSG00000000005	S30.tsv	0.669747141884914	1	0.47	0.14	36	31.5	33.97	30.89	32.86	FALSE	1	0	601
ENSG00000000006	S01.tsv	0.915687778592738	1	0.21	0.03	63	43.27	42.56	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S02.tsv	0.585026644522903	1	0.63	0.14	50	43.27	46.27	41.59	75.56	FALSE	1	0	601.5
ENSG00000000006	S03.tsv	0.0452989097130798	1	1.8	0.47	72	43.27	58.19	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S04.tsv	0.00658826065721618	1	-2.83	-0.82	31	43.27	23.33	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S05.tsv	0.7301918738813	1	-0.51	-0.17	19	43.27	36.84	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S06.tsv	0.963993812112603	1	-0.04	-0.04	42	43.27	40.58	41.59	75.56	FALSE	0	0	601
ENSG00000000006	S07.tsv	0.408218090929237	1	0.92	0.23	45	43.27	49.02	41.59	75.56	FALSE	1	0	601.5
ENSG00000000006	S08.tsv	0.280955542782712	1	1.18	0.3	43	43.27	51.62	41.59	75.56	FALSE	1	0	601.5
ENSG00000000006	S09.tsv	0.410917598128381	1	0.85	0.21	58	43.27	48.31	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S10.tsv	0.124443735848709	1	-1.64	-0.49	30	43.27	29.48	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S11.tsv	0.894490635826904	1	-0.14	-0.07	36	43.27	39.75	41.59	75.56	FALSE	1	0	601.5
ENSG00000000006	S12.tsv	0.582565973557086	1	0.59	0.13	66	43.27	45.86	41.59	75.56	FALSE	0	0	601
ENSG00000000006	S13.tsv	0.277610855155433	1	-1.04	-0.32	42	43.27	33.31	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S14.tsv	0.401157194287104	1	-0.94	-0.29	28	43.27	33.86	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S15.tsv	0.194097380911628	1	1.29	0.33	55	43.27	52.77	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S16.tsv	0.454053753531825	1	0.76	0.18	64	43.27	47.49	41.59	75.56	FALSE	1	0	601.5
ENSG00000000006	S17.tsv	0.712857061136562	1	0.52	0.11	35	43.27	45.29	41.59	75.56	FALSE	0	0	601
ENSG00000000006	S18.tsv	1	1	-0.01	-0.03	29	43.27	40.76	41.59	75.56	FALSE	0	0	601
ENSG00000000006	S19.tsv	0.311874323821999	1	-1.11	-0.34	29	43.27	32.76	41.59	75.56	FALSE	1	0	602
ENSG00000000006	S20.tsv	0.989344024707508	1	0.14	0.01	44	43.27	42	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S21.tsv	0.858932721059028	1	0.27	0.05	59	43.27	43.13	41.59	75.56	FALSE	0	0	601
ENSG00000000006	S22.tsv	0.829194078767747	1	0.32	0.06	48	43.27	43.58	41.59	75.56	FALSE	1	0	601
ENSG00000000006	S23.tsv	0.196603423087264	1	-1.39	-0.42	30	43.27	31	41.59	75.56	FALSE	1	0	601
